Frame,Time (Sec),Y (mm),Z (mm),Layer,MP Area,MP Eccentricity,Tmax,Row,Column,Porosity Label,Porosity Size (mm)
63,17.68,21.3,1.02,3,750,0.4560796190912055,1721,102,91,0,0.0
64,17.83,23.23,1.02,3,702,0.4673002917758438,1720,103,90,0,0.0
65,17.99,25.17,1.02,3,960,0.493333968314027,1748,102,92,0,0.0
66,18.14,27.1,1.02,3,483,0.4480201757879008,1705,102,86,1,0.2569408740359897
67,18.29,29.04,1.02,3,691,0.5367956890752387,1727,105,86,0,0.0
68,18.44,30.97,1.02,3,626,0.3572440347526474,1724,103,90,0,0.0
69,18.6,32.91,1.02,3,698,0.4131792821437267,1728,106,89,0,0.0
70,18.75,34.85,1.02,3,551,0.2339941002439392,1714,106,89,0,0.0
71,18.9,36.78,1.02,3,646,0.3640069346520818,1716,101,90,0,0.0
72,19.05,38.72,1.02,3,488,0.4297844506696624,1703,101,86,0,0.0
73,19.21,40.65,1.02,3,387,0.3506898226067527,1698,102,91,0,0.0
74,19.36,42.59,1.02,3,772,0.3877643615609614,1732,103,90,0,0.0
75,19.51,44.53,1.02,3,643,0.4032347561303777,1724,106,89,0,0.0
76,19.66,46.46,1.02,3,400,0.2062827594575388,1699,105,89,0,0.0
77,19.82,48.4,1.02,3,694,0.3514102395957904,1733,106,90,0,0.0
78,24.69,0.0,1.53,4,869,0.5649494743296041,1724,102,84,0,0.0
79,24.85,1.936,1.53,4,982,0.3041398565732319,1736,105,89,0,0.0
80,25.0,3.872,1.53,4,720,0.3422243185530892,1721,102,91,0,0.0
81,25.15,5.808,1.53,4,1081,0.5347685409034022,1736,101,94,0,0.0
82,25.3,7.744,1.53,4,909,0.3590614698799596,1734,101,91,0,0.0
83,25.46,9.68,1.53,4,575,0.5192541283284346,1714,102,91,0,0.0
84,25.61,11.62,1.53,4,1579,0.4870949952713452,1778,99,95,0,0.0
85,25.76,13.55,1.53,4,647,0.4047384517088866,1713,101,94,0,0.0
86,25.91,15.49,1.53,4,1165,0.4999052901126851,1750,102,92,0,0.0
87,26.07,17.42,1.53,4,701,0.3955155216294282,1720,104,90,0,0.0
88,26.22,19.36,1.53,4,767,0.3589503176166017,1731,105,91,0,0.0
89,26.37,21.3,1.53,4,497,0.5027497316591562,1703,104,90,0,0.0
90,26.52,23.23,1.53,4,806,0.4654745736674596,1732,100,91,0,0.0
91,26.68,25.17,1.53,4,785,0.303438866083281,1735,104,92,0,0.0
92,26.83,27.1,1.53,4,485,0.3511749864475116,1705,103,92,0,0.0
93,26.98,29.04,1.53,4,566,0.1867775723987463,1721,104,90,0,0.0
94,27.13,30.97,1.53,4,602,0.4539809454223939,1712,103,90,0,0.0
95,27.29,32.91,1.53,4,1157,0.3805181277199086,1779,105,93,0,0.0
96,27.44,34.85,1.53,4,709,0.4944767349411517,1730,101,91,0,0.0
97,27.59,36.78,1.53,4,396,0.3750476244360957,1698,103,90,0,0.0
98,27.74,38.72,1.53,4,687,0.3917298473708057,1734,102,94,0,0.0
99,27.9,40.65,1.53,4,524,0.4073806713036653,1711,102,93,0,0.0
100,28.05,42.59,1.53,4,356,0.4404773032346341,1690,101,91,0,0.0
101,28.2,44.53,1.53,4,862,0.4076886148668981,1745,105,91,0,0.0
102,28.35,46.46,1.53,4,342,0.2991982384236988,1701,104,90,0,0.0
103,28.51,48.4,1.53,4,487,0.3816469443580082,1709,102,88,0,0.0
104,28.66,50.33,1.53,4,572,0.4684761315371349,1721,103,89,0,0.0
105,28.81,52.27,1.53,4,693,0.345204670273657,1736,102,92,0,0.0
106,32.77,0.0,2.04,5,1014,0.4709259803135885,1747,103,92,0,0.0
107,32.93,1.936,2.04,5,639,0.3213979402647944,1708,101,88,0,0.0
108,33.08,3.872,2.04,5,924,0.3822619368829056,1740,102,92,0,0.0
109,33.23,5.808,2.04,5,982,0.3541453266842962,1745,102,93,0,0.0
110,33.38,7.744,2.04,5,786,0.3981462145432372,1730,104,90,0,0.0
111,33.54,9.68,2.04,5,605,0.4126924966279301,1700,100,88,0,0.0
112,33.69,11.62,2.04,5,732,0.4525412321186125,1723,102,92,0,0.0
113,33.84,13.55,2.04,5,1021,0.3286991868654011,1747,102,89,0,0.0
114,33.99,15.49,2.04,5,668,0.4779443015601562,1722,102,91,0,0.0
115,34.15,17.42,2.04,5,512,0.2875155478282728,1703,102,87,0,0.0
116,34.3,19.36,2.04,5,579,0.4805252824210431,1717,103,92,0,0.0
117,34.45,21.3,2.04,5,846,0.4978954177685524,1741,103,90,0,0.0
118,34.6,23.23,2.04,5,774,0.2547622179627976,1729,102,91,0,0.0
119,34.76,25.17,2.04,5,503,0.4592962152563229,1707,102,92,0,0.0
120,34.91,27.1,2.04,5,743,0.4365518297432252,1717,102,89,0,0.0
121,35.06,29.04,2.04,5,452,0.3245642023308768,1704,103,91,0,0.0
