Frame,Min_Temp,Max_Temp,Mean_Temp,Std_Temp,Median_Temp,Q1,Q3,IQR,Skewness,Kurtosis,High_Temp_Pixels,Porosity Label
Frame_460.csv,1076.0,1714.0,1256.3192,110.03857,1214.0,1189.0,1309.0,120.0,1.620729,2.4153001,3724,0
Frame_461.csv,1123.0,1794.0,1283.0424,118.414406,1239.0,1213.0,1330.0,117.0,1.7700751,3.011866,3732,0
Frame_462.csv,1093.0,1784.0,1274.396,115.42188,1222.0,1209.0,1310.0,101.0,1.8641032,3.5137367,3677,0
Frame_463.csv,1086.0,1773.0,1267.2789,116.347626,1213.0,1200.0,1301.0,101.0,1.8605332,3.4069605,3707,0
Frame_464.csv,1098.0,1738.0,1250.7578,113.813995,1198.0,1185.0,1283.0,98.0,1.8223583,3.1913257,3738,0
Frame_465.csv,1068.0,1740.0,1241.8053,110.89042,1192.0,1180.0,1285.0,105.0,1.8912915,3.7085328,3495,0
Frame_466.csv,1061.0,1711.0,1237.7594,109.00831,1196.0,1172.0,1276.0,104.0,1.7657508,3.1007357,3636,0
Frame_467.csv,1069.0,1751.0,1249.6101,115.3571,1205.0,1181.0,1293.0,112.0,1.7707651,3.0371506,3731,0
Frame_468.csv,1074.0,1737.0,1252.5312,111.70725,1211.0,1186.0,1292.0,106.0,1.7982593,3.2012417,3623,0
Frame_469.csv,1116.0,1794.0,1269.7292,115.333405,1218.0,1205.0,1306.0,101.0,1.9586133,3.9636335,3545,0
Frame_47.csv,1123.0,1702.0,1277.6559,92.07935,1250.0,1227.0,1281.0,54.0,2.2276418,5.168564,3467,1
Frame_470.csv,1092.0,1738.0,1275.4677,111.7708,1233.0,1208.0,1325.0,117.0,1.6299174,2.3757598,3729,0
Frame_471.csv,1103.0,1753.0,1258.5939,113.0943,1215.0,1190.0,1304.0,114.0,1.7599932,3.1593897,3383,0
Frame_472.csv,1065.0,1740.0,1237.2717,108.36468,1188.0,1176.0,1273.0,97.0,1.9236535,3.9856663,3464,0
Frame_473.csv,1049.0,1719.0,1218.441,106.373436,1170.0,1158.0,1252.0,94.0,1.9728184,4.2531238,3347,0
Frame_474.csv,1059.0,1713.0,1230.7725,106.3139,1182.0,1169.0,1273.0,104.0,1.7873119,3.3456964,3433,0
Frame_475.csv,1057.0,1729.0,1231.3339,111.07088,1191.0,1167.0,1270.0,103.0,1.8786173,3.6156092,3521,0
Frame_476.csv,1067.0,1762.0,1243.4342,113.85929,1191.0,1179.0,1276.0,97.0,1.9453461,3.9142213,3500,0
Frame_477.csv,1090.0,1724.0,1241.0006,109.03128,1200.0,1175.0,1280.0,105.0,1.8175147,3.30963,3659,0
Frame_478.csv,1092.0,1759.0,1241.7808,111.04009,1203.0,1178.0,1276.0,98.0,1.9518211,4.068959,3408,0
Frame_479.csv,1086.0,1751.0,1232.4545,111.01,1183.0,1171.0,1267.0,96.0,1.9759945,4.10054,3542,0
