Frame,Min_Temp,Max_Temp,Mean_Temp,Std_Temp,Median_Temp,Q1,Q3,IQR,Skewness,Kurtosis,High_Temp_Pixels,Num_Blobs,Largest_Blob_Area,Mean_Blob_Area,Eccentricity,Extent,Solidity,Orientation
Frame_932.csv,1094.0,1853.0,1279.0804,119.47596,1235.0,1210.0,1319.0,109.0,1.990755319595337,4.3241158,3346,6,3230.0,538.3333333333334,0.5382193160909966,0.6538461538461539,0.9340659340659341,104.07711029052734
Frame_933.csv,1108.0,1826.0,1263.0999,116.6618,1209.0,1196.0,1304.0,108.0,1.9715735912322998,4.3384457,3338,7,3233.0,461.85714285714283,0.4230702029755349,0.641468253968254,0.9284893739230328,126.1168212890625
Frame_934.csv,1077.0,1841.0,1257.1664,118.524574,1215.0,1190.0,1289.0,99.0,2.0679385662078857,4.754554,3421,3,3190.5,1063.5,0.38989713840493206,0.6701323251417769,0.925184862983906,123.90068817138672
Frame_935.csv,1075.0,1792.0,1255.9777,115.17945,1212.0,1188.0,1301.0,113.0,1.8942790031433105,3.9113283,3340,8,3220.0,402.5,0.5191836921732569,0.6620065789473685,0.9292929292929293,101.4180908203125
Frame_936.csv,1061.0,1841.0,1240.326,120.22297,1196.0,1172.0,1283.0,111.0,2.1069765090942383,5.013711,3387,5,3199.5,639.9,0.584509774642852,0.6358306836248012,0.9253796095444685,125.54334259033203
Frame_937.csv,1085.0,1797.0,1235.7059,114.285965,1183.0,1170.0,1281.0,111.0,2.0033488273620605,4.5880504,3266,7,3032.0,433.2142857142857,0.43614994615452274,0.6478632478632479,0.9266503667481663,96.6302261352539
Frame_938.csv,1047.0,1786.0,1219.8845,114.16896,1179.0,1155.0,1250.0,95.0,2.115936756134033,4.9902925,3354,8,3159.5,394.9375,0.5303380150229594,0.6636210880067213,0.9434159450582263,137.31114196777344
Frame_939.csv,1084.0,1775.0,1229.7522,111.37492,1181.0,1168.0,1265.0,97.0,2.0662801265716553,4.7486005,3463,7,3344.0,477.7142857142857,0.48580645453551763,0.6830065359477124,0.9322553666016169,121.96196746826172
Frame_940.csv,1050.0,1794.0,1226.2778,118.15237,1182.0,1158.0,1267.0,109.0,1.9868323802947998,4.2711864,3501,4,3392.5,848.125,0.5130271586288186,0.6842476805163372,0.9320054945054945,119.2570571899414
Frame_941.csv,1066.0,1778.0,1240.3777,112.511444,1190.0,1178.0,1275.0,97.0,1.9663554430007935,4.1971655,3509,7,3386.0,483.7142857142857,0.6119882610862445,0.7027812370278124,0.9370416493704165,118.01104736328125
